Region,Region Name,Org Code,Provider name,Date,Total MRI Scans,Total Prostate MRI
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/05/2018,1165,58
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/06/2018,1335,67
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/07/2018,965,48
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/08/2018,1355,68
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/09/2018,1190,60
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/10/2018,1160,58
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/11/2018,1180,59
Y54,#N/A,REM,Aintree University Hospital NHS Foundation Trust,01/12/2018,1095,55
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/04/2016,670,34
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/05/2016,535,27
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/06/2016,590,30
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/07/2016,555,28
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/08/2016,560,28
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/09/2016,485,24
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/10/2016,505,25
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/11/2016,555,28
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/12/2016,540,27
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/01/2017,645,32
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/02/2017,590,30
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/03/2017,680,34
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/04/2017,595,30
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/05/2017,550,28
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/06/2017,635,32
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/07/2017,685,34
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/08/2017,670,34
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/09/2017,625,31
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/10/2017,675,34
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/11/2017,655,33
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/12/2017,565,28
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/01/2018,665,33
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/02/2018,600,30
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/03/2018,595,30
Y54,#N/A,RCF,Airedale NHS Foundation Trust, 01/04/2018,665,33
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/01/2019,650,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2020,670,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2021,460,23
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2022,565,28
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2023,610,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2024,610,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2025,585,29
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/02/2019,685,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2020,670,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2021,540,27
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2022,610,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2023,610,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2024,615,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2025,580,29
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/03/2019,740,37
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2020,530,27
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2021,610,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2022,640,32
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2023,685,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2024,660,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2025,615,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2019,680,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2020,175,9
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2021,570,29
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2022,595,30
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2023,640,32
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2024,610,31
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/05/2018,665,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2019,665,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2020,305,15
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2021,685,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2022,675,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2023,670,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2024,680,34
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/06/2018,615,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2019,710,36
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2020,495,25
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2021,580,29
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2022,600,30
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2023,665,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2024,655,33
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/07/2018,685,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2019,700,35
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2020,635,32
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2021,675,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2022,610,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2023,620,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2024,615,31
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/08/2018,605,30
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2019,650,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2020,475,24
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2021,610,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2022,635,32
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2023,685,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2024,655,33
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/09/2018,680,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2019,665,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2020,505,25
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2021,570,29
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2022,595,30
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2023,490,25
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2024,625,31
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/10/2018,695,35
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2019,650,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2020,640,32
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2021,630,32
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2022,640,32
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2023,655,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2024,600,30
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/11/2018,670,34
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2019,710,36
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2020,565,28
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2021,620,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2022,650,33
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2023,635,32
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2024,575,29
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/12/2018,645,32
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2019,625,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2020,540,27
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2021,625,31
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2022,560,28
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2023,595,30
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2024,600,30
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2016,510,26
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2016,490,25
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2016,500,25
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2016,470,24
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2016,465,23
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2016,480,24
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2016,445,22
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2016,530,27
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2016,450,23
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2017,505,25
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2017,465,23
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2017,570,29
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2017,465,23
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2017,550,28
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2017,560,28
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2017,510,26
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2017,550,28
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2017,510,26
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2017,530,27
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2017,555,28
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2017,415,21
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2018,555,28
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2018,515,26
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2018,520,26
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust, 01/04/2018,525,26
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2019,435,22
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2020,305,15
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2021,410,21
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2022,400,20
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2023,725,36
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2024,795,40
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2025,890,45
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2019,245,12
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2020,260,13
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2021,305,15
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2022,555,28
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2023,690,35
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2024,760,38
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2025,780,39
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2019,375,19
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2020,450,23
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2021,415,21
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2022,645,32
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2023,750,38
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2024,865,43
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2025,0,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2019,430,22
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2020,185,9
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2021,270,14
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2022,550,28
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2023,630,32
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2024,795,40
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2018,525,26
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2019,400,20
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2020,365,18
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2021,315,16
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2022,515,26
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2024,805,40
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2018,530,27
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2019,300,15
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2020,495,25
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2021,410,21
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2022,470,24
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2024,740,37
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2018,525,26
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2019,310,16
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2020,350,18
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2021,360,18
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2022,325,16
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2023,675,34
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2024,785,39
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2018,555,28
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2019,260,13
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2020,360,18
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2021,250,13
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2022,345,17
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2023,750,38
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2024,690,35
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2018,490,25
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2019,345,17
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2020,475,24
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2021,355,18
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2022,380,19
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2023,650,33
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2024,715,36
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2018,540,27
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2019,370,19
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2020,360,18
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2021,295,15
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2022,420,21
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2023,735,37
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2024,865,43
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2018,645,32
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2019,305,15
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2020,365,18
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2021,365,18
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2022,565,28
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2023,740,37
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2024,725,36
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2018,325,16
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2019,240,12
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2020,425,21
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2021,360,18
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2022,465,23
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2023,625,31
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2024,630,32
IHCP,#N/A,NT9,Alliance Medical,01/04/2016,0,0
IHCP,#N/A,NT9,Alliance Medical,01/05/2016,0,0
IHCP,#N/A,NT9,Alliance Medical,01/06/2016,0,0
IHCP,#N/A,NT9,Alliance Medical,01/07/2016,0,0
IHCP,#N/A,NT9,Alliance Medical,01/08/2016,0,0
IHCP,#N/A,NT9,Alliance Medical,01/09/2016,0,0
IHCP,#N/A,NT9,Alliance Medical,01/10/2016,0,0
IHCP,#N/A,NT9,Alliance Medical,01/11/2016,0,0
IHCP,#N/A,NT9,Alliance Medical,01/12/2016,0,0
IHCP,#N/A,NT9,Alliance Medical,01/01/2017,0,0
IHCP,#N/A,NT9,Alliance Medical,01/02/2017,0,0
IHCP,#N/A,NT9,Alliance Medical,01/03/2017,10,1
IHCP,#N/A,NT9,Alliance Medical,01/04/2017,75,4
IHCP,#N/A,NT9,Alliance Medical,01/05/2017,45,2
IHCP,#N/A,NT9,Alliance Medical,01/06/2017,15,1
IHCP,#N/A,NT9,Alliance Medical,01/07/2017,65,3
IHCP,#N/A,NT9,Alliance Medical,01/08/2017,100,5
IHCP,#N/A,NT9,Alliance Medical,01/09/2017,115,6
IHCP,#N/A,NT9,Alliance Medical,01/10/2017,110,6
IHCP,#N/A,NT9,Alliance Medical,01/11/2017,90,5
IHCP,#N/A,NT9,Alliance Medical,01/12/2017,90,5
IHCP,#N/A,NT9,Alliance Medical,01/01/2018,100,5
IHCP,#N/A,NT9,Alliance Medical,01/02/2018,7585,379
IHCP,#N/A,NT9,Alliance Medical,01/03/2018,8660,433
Y54,#N/A,NT9,Alliance Medical, 01/04/2018,3445,172
Y55,#N/A,NT9,Alliance Medical, 01/04/2018,2120,106
Y56,London Commissioning Region,NT9,Alliance Medical, 01/04/2018,1275,64
Y58,South West Commissioning Region,NT9,Alliance Medical, 01/04/2018,230,12
Y59,South East Commissioning Region,NT9,Alliance Medical, 01/04/2018,1155,58
Y54,#N/A,NT9,Alliance Medical,01/01/2019,4190,210
Y55,#N/A,NT9,Alliance Medical,01/01/2019,3240,162
Y56,London Commissioning Region,NT9,Alliance Medical,01/01/2019,1065,53
Y58,South West Commissioning Region,NT9,Alliance Medical,01/01/2019,215,11
Y59,South East Commissioning Region,NT9,Alliance Medical,01/01/2019,1600,80
Y56,London Commissioning Region,NT9,Alliance Medical,01/01/2020,1870,94
Y58,South West Commissioning Region,NT9,Alliance Medical,01/01/2020,270,14
Y59,South East Commissioning Region,NT9,Alliance Medical,01/01/2020,2325,116
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/01/2020,880,44
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/01/2020,1055,53
Y62,North West Commissioning Region,NT9,Alliance Medical,01/01/2020,1195,60
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/01/2020,1695,85
Y56,London Commissioning Region,NT9,Alliance Medical,01/01/2021,1030,52
Y56,London Commissioning Region,NT9,Alliance Medical,01/01/2022,1420,71
Y56,London Commissioning Region,NT9,Alliance Medical,01/01/2023,1500,75
Y56,London Commissioning Region,NT9,Alliance Medical,01/01/2024,1475,74
Y56,London Commissioning Region,NT9,Alliance Medical,01/01/2025,1885,94
Y54,#N/A,NT9,Alliance Medical,01/02/2019,4055,203
Y55,#N/A,NT9,Alliance Medical,01/02/2019,2010,101
Y56,London Commissioning Region,NT9,Alliance Medical,01/02/2019,1345,67
Y58,South West Commissioning Region,NT9,Alliance Medical,01/02/2019,245,12
Y59,South East Commissioning Region,NT9,Alliance Medical,01/02/2019,1605,80
Y56,London Commissioning Region,NT9,Alliance Medical,01/02/2020,1755,88
Y58,South West Commissioning Region,NT9,Alliance Medical,01/02/2020,270,14
Y59,South East Commissioning Region,NT9,Alliance Medical,01/02/2020,2065,103
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/02/2020,905,45
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/02/2020,1090,55
Y62,North West Commissioning Region,NT9,Alliance Medical,01/02/2020,1230,62
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/02/2020,1730,87
Y56,London Commissioning Region,NT9,Alliance Medical,01/02/2021,975,49
Y56,London Commissioning Region,NT9,Alliance Medical,01/02/2022,1410,71
Y56,London Commissioning Region,NT9,Alliance Medical,01/02/2023,1565,78
Y56,London Commissioning Region,NT9,Alliance Medical,01/02/2024,1710,86
