Region,RegionName,Org Code,Provider name,Date,Median Days Test to Report
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2023,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2024,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2024,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2024,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2024,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2024,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2024,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2024,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2024,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2024,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2024,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2024,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2024,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2025,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2025,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2025,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/04/16,4
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/05/16,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/06/16,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/07/16,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/08/16,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/09/16,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/10/16,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/11/16,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/12/16,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/01/17,3
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/02/17,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/03/17,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/04/17,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/05/17,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/06/17,3
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/07/17,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/07/17,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/08/17,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/09/17,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/10/17,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/11/17,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/12/17,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/01/18,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/02/18,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/03/18,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust, 01/04/2018,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/05/2018,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/06/2018,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/07/2018,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/08/2018,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/09/2018,3
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/10/2018,1
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/11/2018,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/12/2018,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/01/2019,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/02/2019,2
Y54,#N/A,RCF,Airedale NHS Foundation Trust,01/03/2019,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/04/2019,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/05/2019,3
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/06/2019,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/07/2019,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/08/2019,1
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/09/2019,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/10/2019,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/11/2019,4
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/12/2019,3
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/01/2020,3
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/02/2020,2
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,01/03/2020,2
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2020,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2020,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2020,1
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2020,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2020,6
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2020,9
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2020,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2020,7
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2020,8
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2021,5
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2021,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2021,7
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2021,4
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2021,6
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2021,6
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2021,5
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2021,4
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2021,5
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2021,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2021,2
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2021,15
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2022,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2022,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2023,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2023,4
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2023,25
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2023,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2023,27
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2023,1
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2023,21
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2023,19
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2023,10.5
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2023,1
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2024,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2024,1
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2024,1
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2024,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2024,16
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2024,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2024,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2024,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2024,28
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2024,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2024,11
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2024,1
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2025,0
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2025,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/04/16,0.5
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/05/16,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/06/16,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/07/16,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/08/16,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/09/16,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/10/16,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/11/16,0.5
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/12/16,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/01/17,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/02/17,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/03/17,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/04/17,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/05/17,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/06/17,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/07/17,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/07/17,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/08/17,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/09/17,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/10/17,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/11/17,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/12/17,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/01/18,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/02/18,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/03/18,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust, 01/04/2018,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2018,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2018,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2018,0
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2018,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2018,2
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2018,4
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2018,13
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2018,7
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2019,7
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2019,1
Y54,#N/A,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2019,6
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/04/2019,5
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/05/2019,7
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/06/2019,5
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/07/2019,1
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/08/2019,5
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/09/2019,6
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/10/2019,7
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/11/2019,5.5
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/12/2019,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/01/2020,4
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/02/2020,3
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,01/03/2020,12
Y56,London Commissioning Region,NT9,Alliance Medical,01/04/2020,3
Y56,London Commissioning Region,NT9,Alliance Medical,01/05/2020,3
Y56,London Commissioning Region,NT9,Alliance Medical,01/06/2020,3
Y56,London Commissioning Region,NT9,Alliance Medical,01/07/2020,3
Y56,London Commissioning Region,NT9,Alliance Medical,01/08/2020,4
Y56,London Commissioning Region,NT9,Alliance Medical,01/09/2020,4
Y56,London Commissioning Region,NT9,Alliance Medical,01/10/2020,4
Y56,London Commissioning Region,NT9,Alliance Medical,01/11/2020,5
Y56,London Commissioning Region,NT9,Alliance Medical,01/12/2020,6
Y56,London Commissioning Region,NT9,Alliance Medical,01/01/2021,4
Y56,London Commissioning Region,NT9,Alliance Medical,01/02/2021,4
Y56,London Commissioning Region,NT9,Alliance Medical,01/03/2021,3
Y58,South West Commissioning Region,NT9,Alliance Medical,01/04/2020,5
Y58,South West Commissioning Region,NT9,Alliance Medical,01/05/2020,4
Y58,South West Commissioning Region,NT9,Alliance Medical,01/06/2020,3
Y58,South West Commissioning Region,NT9,Alliance Medical,01/07/2020,4
Y58,South West Commissioning Region,NT9,Alliance Medical,01/08/2020,3
Y58,South West Commissioning Region,NT9,Alliance Medical,01/09/2020,4
Y58,South West Commissioning Region,NT9,Alliance Medical,01/10/2020,3
Y58,South West Commissioning Region,NT9,Alliance Medical,01/11/2020,2
Y58,South West Commissioning Region,NT9,Alliance Medical,01/12/2020,2
Y58,South West Commissioning Region,NT9,Alliance Medical,01/01/2021,2
Y58,South West Commissioning Region,NT9,Alliance Medical,01/02/2021,2
Y58,South West Commissioning Region,NT9,Alliance Medical,01/03/2021,2
Y59,South East Commissioning Region,NT9,Alliance Medical,01/04/2020,25
Y59,South East Commissioning Region,NT9,Alliance Medical,01/05/2020,5
Y59,South East Commissioning Region,NT9,Alliance Medical,01/06/2020,3
Y59,South East Commissioning Region,NT9,Alliance Medical,01/07/2020,2
Y59,South East Commissioning Region,NT9,Alliance Medical,01/08/2020,2
Y59,South East Commissioning Region,NT9,Alliance Medical,01/09/2020,2
Y59,South East Commissioning Region,NT9,Alliance Medical,01/10/2020,4
Y59,South East Commissioning Region,NT9,Alliance Medical,01/11/2020,2
Y59,South East Commissioning Region,NT9,Alliance Medical,01/12/2020,3
Y59,South East Commissioning Region,NT9,Alliance Medical,01/01/2021,2
Y59,South East Commissioning Region,NT9,Alliance Medical,01/02/2021,2
Y59,South East Commissioning Region,NT9,Alliance Medical,01/03/2021,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/04/2020,3
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/05/2020,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/06/2020,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/07/2020,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/08/2020,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/09/2020,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/10/2020,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/11/2020,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/12/2020,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/01/2021,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/02/2021,2
Y60,Midlands Commissioning Region ,NT9,Alliance Medical,01/03/2021,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/04/2020,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/05/2020,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/06/2020,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/07/2020,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/08/2020,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/09/2020,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/10/2020,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/11/2020,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/12/2020,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/01/2021,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/02/2021,2
Y61,East of England Commissioning Region ,NT9,Alliance Medical,01/03/2021,3
Y62,North West Commissioning Region,NT9,Alliance Medical,01/04/2020,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/05/2020,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/06/2020,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/07/2020,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/08/2020,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/09/2020,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/10/2020,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/11/2020,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/12/2020,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/01/2021,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/02/2021,1
Y62,North West Commissioning Region,NT9,Alliance Medical,01/03/2021,1
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/06/2020,21
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/09/2020,13
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/10/2020,10
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/11/2020,12
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/12/2020,20
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/01/2021,16
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/02/2021,12
Y63,North East and Yorkshire Commissioning Region,NT9,Alliance Medical,01/03/2021,20
Y56,London Commissioning Region,NT9,Alliance Medical,01/04/2021,4
Y56,London Commissioning Region,NT9,Alliance Medical,01/05/2021,3
Y56,London Commissioning Region,NT9,Alliance Medical,01/06/2021,5
Y56,London Commissioning Region,NT9,Alliance Medical,01/07/2021,5
Y56,London Commissioning Region,NT9,Alliance Medical,01/08/2021,5
