Region,Org Code,Provider name,Modality,Date,Median Days Request to Test
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2024,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2024,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2024,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2024,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2024,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2024,12
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2024,12
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2024,14
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2025,14.5
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2025,13
Y63,RCF,Airedale NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2025,14
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2020,7
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2020,38
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2020,56
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2020,28
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2020,35
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2020,42
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2020,155
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2020,27
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2020,30
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2021,335
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2021,6
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2021,14
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2021,85
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2021,225
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2021,21
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2021,29
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2021,15
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2021,5
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2021,7
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2021,7
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2021,155
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2022,27
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2022,29
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2022,32
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2022,40
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2022,38
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2022,27
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2022,17.5
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2022,7
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2022,17.5
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2022,23
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2022,25
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2022,21
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2023,37
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2023,29
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2023,30
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2023,35
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2023,38
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2023,42
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2023,50
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2023,35
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2023,37
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2023,35
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2024,41
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2024,37
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2024,39
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2024,42
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2024,41.5
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2024,44
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2024,47
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2024,49.5
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2024,55
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2024,42
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2024,41
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2024,41
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2025,58
Y62,RBS,Alder Hey Children's NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2025,50
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2020,3
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2020,6
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2020,11
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2020,14
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2020,12
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2020,11
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2020,10
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2020,10
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2020,11
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2021,10
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2021,11
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2021,13
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2021,17
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2021,19
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2021,22
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2021,27
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2021,29
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2021,29
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2021,26
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2021,30
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2021,28
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2022,39
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2022,32
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2022,35
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2022,35
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2022,32
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2022,34
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2022,28
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2022,29
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2022,25
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2022,24
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2022,29
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2022,32
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2023,38
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2023,35
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2023,39
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2023,40
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2023,32
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2023,30
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2023,31
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2023,31
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2023,32
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2023,32
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2023,35.5
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2023,40
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2024,42
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2024,35
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2024,31
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2024,4
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2024,27
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2024,30
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2024,30
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2024,30
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2024,31
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2024,27
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2024,30
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2024,31
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2025,34
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2025,28
Y59,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2025,31
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/04/2020,17
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/05/2020,13
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/06/2020,9
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/07/2020,10
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/08/2020,13
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/09/2020,16
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/10/2020,18
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/11/2020,27
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/12/2020,26
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/01/2021,26
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/02/2021,18
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/03/2021,15
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/04/2021,16
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/05/2021,14
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/06/2021,20
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/07/2021,24
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/08/2021,30
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/09/2021,31
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/10/2021,25
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/11/2021,16
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/12/2021,12
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/01/2022,35
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/02/2022,20
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/03/2022,18
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/04/2022,21
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/05/2022,35
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/06/2022,28
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/07/2022,37
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/08/2022,33
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/09/2022,37
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/10/2022,35
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/11/2022,35
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/12/2022,27
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/01/2023,23
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/02/2023,11
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/03/2023,12
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/04/2023,18
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/05/2023,25
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/06/2023,25
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/07/2023,26
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/08/2023,28
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/09/2023,33
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/10/2023,32
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/11/2023,31
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/12/2023,36
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/01/2024,42
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/02/2024,34
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/03/2024,35
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/04/2024,32
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/05/2024,30
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/06/2024,31
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/07/2024,31
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/08/2024,29
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/09/2024,20
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/10/2024,10
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/11/2024,7
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/12/2024,10
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/01/2025,13
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/02/2025,19
Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,01/03/2025,27
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2020,2
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2020,2
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2020,4
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2020,6
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2020,15
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2020,12
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2020,26
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2020,13
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2020,8
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2021,7
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2021,9
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2021,10
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2021,9
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2021,9
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/06/2021,16
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/07/2021,15
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/08/2021,13
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/09/2021,13
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/10/2021,12
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/11/2021,16
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/12/2021,14
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/01/2022,12
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/02/2022,9
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/03/2022,7
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/04/2022,5
Y63,RFF,Barnsley Hospital NHS Foundation Trust,Magnetic Resonance Imaging,01/05/2022,4
