Regional Team Code,Regional Team Name,Provider Code,Provider Name,Type of Hospital,Month,Year, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks 
Y56,London Commissioning Region,NT421,Kings Oak Hospital,Private,March,2025,3,0,0,0.0%
Y56,London Commissioning Region,RAX,Kingston and Richmond NHS Foundation Trust,NHS,March,2025,"2,183",326,76,14.9%
Y56,London Commissioning Region,RJ2,Lewisham and Greenwich NHS Trust,NHS,March,2025,"4,225","1,328",38,31.4%
Y56,London Commissioning Region,NT422,London Independent Hospital,Private,March,2025,42,5,0,11.9%
Y56,London Commissioning Region,R1K,London North West University Healthcare NHS Trust,NHS,March,2025,"3,216",163,18,5.1%
Y56,London Commissioning Region,AY1,Medefer,Private,March,2025,70,35,15,50.0%
Y56,London Commissioning Region,RP6,Moorfields Eye Hospital NHS Foundation Trust,NHS,March,2025,140,2,0,1.4%
Y56,London Commissioning Region,RAL,Royal Free London NHS Foundation Trust,NHS,March,2025,"3,967",25,1,0.6%
Y56,London Commissioning Region,RAN,Royal National Orthopaedic Hospital NHS Trust,NHS,March,2025,"1,016",10,0,1.0%
Y56,London Commissioning Region,NT436,Shirley Oaks Hospital,Private,March,2025,22,0,0,0.0%
Y56,London Commissioning Region,NT437,Sloane Hospital,Private,March,2025,24,0,0,0.0%
Y56,London Commissioning Region,RV5,South London and Maudsley NHS Foundation Trust,NHS,March,2025,0,0,0,0.0%
Y56,London Commissioning Region,NT314,Spire London East,Private,March,2025,89,20,8,22.5%
Y56,London Commissioning Region,NT3X3,Spire St Anthony's Hospital,Private,March,2025,161,97,74,60.2%
Y56,London Commissioning Region,RJ7,St George's University Hospitals NHS Foundation Trust,NHS,March,2025,"1,815",3,2,0.2%
Y56,London Commissioning Region,RAS,The Hillingdon Hospitals NHS Foundation Trust,NHS,March,2025,"1,557",316,15,20.3%
Y56,London Commissioning Region,RPY,The Royal Marsden NHS Foundation Trust,NHS,March,2025,232,0,0,0.0%
Y56,London Commissioning Region,RRV,University College London Hospitals NHS Foundation Trust,NHS,March,2025,"4,574",284,5,6.2%
Y56,London Commissioning Region,RKE,Whittington Health NHS Trust,NHS,March,2025,"1,229",20,0,1.6%
Y58,South West Commissioning Region,NT402,Bath Clinic,Private,March,2025,4,0,0,0.0%
Y58,South West Commissioning Region,AC7,Cobalt Health,Private,March,2025,171,4,0,2.3%
Y58,South West Commissioning Region,RBD,Dorset County Hospital NHS Foundation Trust,NHS,March,2025,747,61,0,8.2%
Y58,South West Commissioning Region,NVC04,Duchy Hospital,Private,March,2025,17,0,0,0.0%
Y58,South West Commissioning Region,NVC0Y,Exeter Medical,Private,March,2025,0,0,0,0.0%
Y58,South West Commissioning Region,RTE,Gloucestershire Hospitals NHS Foundation Trust,NHS,March,2025,"2,725",467,25,17.1%
Y58,South West Commissioning Region,RN3,Great Western Hospitals NHS Foundation Trust,NHS,March,2025,926,0,0,0.0%
Y58,South West Commissioning Region,NT419,Harbour Hospital,Private,March,2025,1,0,0,0.0%
Y58,South West Commissioning Region,NVC08,Mount Stuart Hospital,Private,March,2025,12,0,0,0.0%
Y58,South West Commissioning Region,NVC09,New Hall Hospital,Private,March,2025,98,17,6,17.3%
Y58,South West Commissioning Region,RVJ,North Bristol NHS Trust,NHS,March,2025,"2,580",2,0,0.1%
Y58,South West Commissioning Region,NT202,"Nuffield Health, Bournemouth Hospital",Private,March,2025,3,0,0,0.0%
Y58,South West Commissioning Region,NT206,"Nuffield Health, Bristol Hospital (Chesterfield)",Private,March,2025,15,0,0,0.0%
Y58,South West Commissioning Region,NTPH2,Practice Plus Group Hospital - Emersons Green,Private,March,2025,28,1,0,3.6%
Y58,South West Commissioning Region,NTPH5,Practice Plus Group Hospital - Plymouth,Private,March,2025,113,5,0,4.4%
Y58,South West Commissioning Region,NTPH1,Practice Plus Group Hospital - Shepton Mallet,Private,March,2025,133,0,0,0.0%
Y58,South West Commissioning Region,NTPH3,Practice Plus Group Surgical Centre - Devizes,Private,March,2025,12,2,0,16.7%
Y58,South West Commissioning Region,NT430,Ridgeway Hospital,Private,March,2025,2,0,0,0.0%
Y58,South West Commissioning Region,REF,Royal Cornwall Hospitals NHS Trust,NHS,March,2025,"2,789",81,0,2.9%
Y58,South West Commissioning Region,RH8,Royal Devon University Healthcare NHS Foundation Trust,NHS,March,2025,"3,400",999,440,29.4%
Y58,South West Commissioning Region,RD1,Royal United Hospitals Bath NHS Foundation Trust,NHS,March,2025,"1,885",429,111,22.8%
Y58,South West Commissioning Region,RNZ,Salisbury NHS Foundation Trust,NHS,March,2025,856,106,16,12.4%
Y58,South West Commissioning Region,RH5,Somerset NHS Foundation Trust,NHS,March,2025,"1,989",461,110,23.2%
Y58,South West Commissioning Region,NT302,Spire Bristol Hospital,Private,March,2025,23,1,0,4.3%
Y58,South West Commissioning Region,G3Z1Q,Sulis Hospital Bath (Foxcote Avenue),Private,March,2025,78,1,0,1.3%
Y58,South West Commissioning Region,RA9,Torbay and South Devon NHS Foundation Trust,NHS,March,2025,661,200,122,30.3%
Y58,South West Commissioning Region,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,NHS,March,2025,"3,388",832,399,24.6%
Y58,South West Commissioning Region,R0D,University Hospitals Dorset NHS Foundation Trust,NHS,March,2025,"2,484",11,0,0.4%
Y58,South West Commissioning Region,RK9,University Hospitals Plymouth NHS Trust,NHS,March,2025,"2,493",288,28,11.6%
Y58,South West Commissioning Region,NVC22,Winfield Hospital,Private,March,2025,28,9,9,32.1%
Y58,South West Commissioning Region,NT443,Winterbourne Hospital,Private,March,2025,11,0,0,0.0%
Y59,South East Commissioning Region,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,NHS,March,2025,"2,264",136,0,6.0%
Y59,South East Commissioning Region,NVC01,Ashtead Hospital,Private,March,2025,34,0,0,0.0%
Y59,South East Commissioning Region,NWF01,Benenden Hospital,Private,March,2025,0,0,0,0.0%
Y59,South East Commissioning Region,RXQ,Buckinghamshire Healthcare NHS Trust,NHS,March,2025,"1,399",427,26,30.5%
Y59,South East Commissioning Region,NT408,Chaucer Hospital,Private,March,2025,5,0,0,0.0%
Y59,South East Commissioning Region,NT410,Chiltern Hospital,Private,March,2025,13,0,0,0.0%
Y59,South East Commissioning Region,F9Z4V,Circle Reading Hospital,Private,March,2025,12,0,0,0.0%
Y59,South East Commissioning Region,RN7,Dartford and Gravesham NHS Trust,NHS,March,2025,"1,988",7,0,0.4%
Y59,South East Commissioning Region,RVV,East Kent Hospitals University NHS Foundation Trust,NHS,March,2025,"6,657",854,370,12.8%
Y59,South East Commissioning Region,RXC,East Sussex Healthcare NHS Trust,NHS,March,2025,"3,137",408,56,13.0%
Y59,South East Commissioning Region,RDU,Frimley Health NHS Foundation Trust,NHS,March,2025,"1,379",55,9,4.0%
Y59,South East Commissioning Region,NT417,Goring Hall Hospital,Private,March,2025,5,0,0,0.0%
Y59,South East Commissioning Region,RW1,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,NHS,March,2025,"1,192",10,0,0.8%
Y59,South East Commissioning Region,NT418,Hampshire Clinic,Private,March,2025,0,0,0,0.0%
Y59,South East Commissioning Region,RN5,Hampshire Hospitals NHS Foundation Trust,NHS,March,2025,"3,806","1,581",254,41.5%
Y59,South East Commissioning Region,NYR,Healthshare Diagnostics,Private,March,2025,"3,333",2,0,0.1%
Y59,South East Commissioning Region,NV1,Inhealth Limited,Private,March,2025,"4,458",11,2,0.2%
Y59,South East Commissioning Region,R1F,Isle of Wight NHS Trust,NHS,March,2025,371,6,0,1.6%
Y59,South East Commissioning Region,ADP02,Kims Hospital (Newnham Court),Private,March,2025,1,1,0,100.0%
Y59,South East Commissioning Region,RWF,Maidstone and Tunbridge Wells NHS Trust,NHS,March,2025,"1,525",62,18,4.1%
Y59,South East Commissioning Region,DC8,Medical Imaging Partnership Ltd,Private,March,2025,"1,022",25,3,2.4%
Y59,South East Commissioning Region,RPA,Medway NHS Foundation Trust,NHS,March,2025,"1,327",17,4,1.3%
Y59,South East Commissioning Region,NTPAA,Mid & South Buckinghamshire Diagnostic NHS Centre,NHS,March,2025,982,139,20,14.2%
Y59,South East Commissioning Region,NT455,Mount Alvernia Hospital,Private,March,2025,1,0,0,0.0%
Y59,South East Commissioning Region,NVC11,North Downs Hospital,Private,March,2025,67,1,1,1.5%
Y59,South East Commissioning Region,NT205,"Nuffield Health, Brighton Hospital",Private,March,2025,13,0,0,0.0%
Y59,South East Commissioning Region,NT218,"Nuffield Health, Haywards Heath Hospital",Private,March,2025,2,0,0,0.0%
Y59,South East Commissioning Region,NT214,"Nuffield Health, Wessex Hospital",Private,March,2025,10,0,0,0.0%
Y59,South East Commissioning Region,RTH,Oxford University Hospitals NHS Foundation Trust,NHS,March,2025,"5,573",631,111,11.3%
Y59,South East Commissioning Region,RHU,Portsmouth Hospitals University National Health Service NHS Trust,NHS,March,2025,"2,736","1,405",948,51.4%
Y59,South East Commissioning Region,NTP11,Practice Plus Group Hospital - Southampton,Private,March,2025,52,47,10,90.4%
Y59,South East Commissioning Region,NT428,Princess Margaret Hospital,Private,March,2025,2,0,0,0.0%
Y59,South East Commissioning Region,RPC,Queen Victoria Hospital NHS Foundation Trust,NHS,March,2025,204,4,0,2.0%
Y59,South East Commissioning Region,RHW,Royal Berkshire NHS Foundation Trust,NHS,March,2025,"2,303",48,11,2.1%
Y59,South East Commissioning Region,RA2,Royal Surrey County Hospital NHS Foundation Trust,NHS,March,2025,"1,351",101,2,7.5%
Y59,South East Commissioning Region,NT431,Runnymede Hospital,Private,March,2025,0,0,0,0.0%
Y59,South East Commissioning Region,NT433,Sarum Road Hospital,Private,March,2025,5,1,0,20.0%
Y59,South East Commissioning Region,NT312,Spire Alexandra Hospital,Private,March,2025,156,8,0,5.1%
Y59,South East Commissioning Region,NT345,Spire Clare Park Hospital,Private,March,2025,6,0,0,0.0%
Y59,South East Commissioning Region,NT344,Spire Dunedin Hospital,Private,March,2025,4,0,0,0.0%
Y59,South East Commissioning Region,NT308,Spire Gatwick Park Hospital,Private,March,2025,135,14,2,10.4%
Y59,South East Commissioning Region,NT364,Spire Montefiore Hospital,Private,March,2025,0,0,0,0.0%
Y59,South East Commissioning Region,NT305,Spire Portsmouth Hospital,Private,March,2025,14,3,1,21.4%
Y59,South East Commissioning Region,NT304,Spire Southampton Hospital,Private,March,2025,17,0,0,0.0%
Y59,South East Commissioning Region,NT343,Spire Thames Valley Hospital,Private,March,2025,3,0,0,0.0%
Y59,South East Commissioning Region,RTP,Surrey and Sussex Healthcare NHS Trust,NHS,March,2025,"1,285",64,23,5.0%
Y59,South East Commissioning Region,RDR,Sussex Community NHS Foundation Trust,NHS,March,2025,377,27,10,7.2%
Y59,South East Commissioning Region,NVC02,The Berkshire Independent Hospital,Private,March,2025,38,16,11,42.1%
Y59,South East Commissioning Region,NVC25,The Cherwell Hospital,Private,March,2025,163,5,1,3.1%
Y59,South East Commissioning Region,NXM01,The Horder Centre - St Johns Road,Private,March,2025,29,2,0,6.9%
Y59,South East Commissioning Region,RHM,University Hospital Southampton NHS Foundation Trust,NHS,March,2025,"2,180",418,6,19.2%
Y59,South East Commissioning Region,RYR,University Hospitals Sussex NHS Foundation Trust,NHS,March,2025,"3,141",242,96,7.7%
Y60,Midlands Commissioning Region,NVC0I,Beacon Park Hospital,Private,March,2025,17,0,0,0.0%
Y60,Midlands Commissioning Region,RQ3,Birmingham Women's and Children's NHS Foundation Trust,NHS,March,2025,204,55,34,27.0%
Y60,Midlands Commissioning Region,NVC27,Boston West Hospital,Private,March,2025,73,2,0,2.7%
Y60,Midlands Commissioning Region,RFS,Chesterfield Royal Hospital NHS Foundation Trust,NHS,March,2025,710,54,2,7.6%
Y60,Midlands Commissioning Region,NT412,Droitwich Spa Hospital,Private,March,2025,62,0,0,0.0%
Y60,Midlands Commissioning Region,RLT,George Eliot Hospital NHS Trust,NHS,March,2025,453,11,2,2.4%
Y60,Midlands Commissioning Region,K8I4X,Glendon Wood Hospital,Private,March,2025,26,3,0,11.5%
Y60,Midlands Commissioning Region,RNQ,Kettering General Hospital NHS Foundation Trust,NHS,March,2025,"2,068",463,49,22.4%
Y60,Midlands Commissioning Region,NT450,Lincoln Private Hospital,Private,March,2025,15,0,0,0.0%
Y60,Midlands Commissioning Region,NT424,Meriden Hospital,Private,March,2025,126,28,0,22.2%
Y60,Midlands Commissioning Region,RNS,Northampton General Hospital NHS Trust,NHS,March,2025,"2,981",433,14,14.5%
Y60,Midlands Commissioning Region,RX1,Nottingham University Hospitals NHS Trust,NHS,March,2025,"4,659",993,108,21.3%
Y60,Midlands Commissioning Region,NT213,"Nuffield Health, Derby Hospital",Private,March,2025,34,6,2,17.6%
Y60,Midlands Commissioning Region,NT219,"Nuffield Health, Hereford Hospital",Private,March,2025,0,0,0,0.0%
Y60,Midlands Commissioning Region,NT226,"Nuffield Health, Leicester Hospital",Private,March,2025,36,3,3,8.3%
Y60,Midlands Commissioning Region,NT230,"Nuffield Health, North Staffordshire Hospital",Private,March,2025,34,0,0,0.0%
Y60,Midlands Commissioning Region,NT235,"Nuffield Health, Shrewsbury Hospital",Private,March,2025,0,0,0,0.0%
Y60,Midlands Commissioning Region,NT242,"Nuffield Health, Wolverhampton Hospital",Private,March,2025,3,0,0,0.0%
Y60,Midlands Commissioning Region,NT427,Park Hospital,Private,March,2025,5,0,0,0.0%
Y60,Midlands Commissioning Region,NTP13,Practice Plus Group Hospital - Barlborough,Private,March,2025,53,2,0,3.8%
Y60,Midlands Commissioning Region,M2Y6D,Practice Plus Group Hospital Birmingham,Private,March,2025,7,0,0,0.0%
Y60,Midlands Commissioning Region,NT429,Priory Hospital,Private,March,2025,37,0,0,0.0%
Y60,Midlands Commissioning Region,NVC17,Rowley Hall Hospital,Private,March,2025,129,4,3,3.1%
Y60,Midlands Commissioning Region,RXK,Sandwell and West Birmingham Hospitals NHS Trust,NHS,March,2025,"5,773","1,267",41,21.9%
Y60,Midlands Commissioning Region,RK5,Sherwood Forest Hospitals NHS Foundation Trust,NHS,March,2025,840,33,3,3.9%
Y60,Midlands Commissioning Region,RJC,South Warwickshire University NHS Foundation Trust,NHS,March,2025,"2,000",72,0,3.6%
Y60,Midlands Commissioning Region,NT322,Spire Leicester Hospital,Private,March,2025,31,5,1,16.1%
Y60,Midlands Commissioning Region,NT321,Spire Little Aston Hospital,Private,March,2025,19,0,0,0.0%
Y60,Midlands Commissioning Region,NT30A,Spire Nottingham Hospital,Private,March,2025,6,0,0,0.0%
Y60,Midlands Commissioning Region,NT320,Spire Parkway Hospital,Private,March,2025,101,6,2,5.9%
Y60,Midlands Commissioning Region,NT301,Spire South Bank Hospital,Private,March,2025,13,13,12,100.0%
Y60,Midlands Commissioning Region,NVC1H,Stourside Hospital,Private,March,2025,63,3,2,4.8%
Y60,Midlands Commissioning Region,RNA,The Dudley Group NHS Foundation Trust,NHS,March,2025,"1,485",136,55,9.2%
Y60,Midlands Commissioning Region,RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,NHS,March,2025,795,33,1,4.2%
Y60,Midlands Commissioning Region,RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,NHS,March,2025,741,1,0,0.1%
Y60,Midlands Commissioning Region,RL4,The Royal Wolverhampton NHS Trust,NHS,March,2025,"2,145",6,0,0.3%
Y60,Midlands Commissioning Region,RXW,The Shrewsbury and Telford Hospital NHS Trust,NHS,March,2025,"2,894",431,88,14.9%
Y60,Midlands Commissioning Region,NT441,Three Shires Hospital,Private,March,2025,25,0,0,0.0%
Y60,Midlands Commissioning Region,RWD,United Lincolnshire Teaching Hospitals NHS Trust,NHS,March,2025,"2,855",148,21,5.2%
Y60,Midlands Commissioning Region,RRK,University Hospitals Birmingham NHS Foundation Trust,NHS,March,2025,"6,839",608,13,8.9%
Y60,Midlands Commissioning Region,RKB,University Hospitals Coventry and Warwickshire NHS Trust,NHS,March,2025,"4,650",391,272,8.4%
Y60,Midlands Commissioning Region,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,NHS,March,2025,"3,602",763,380,21.2%
Y60,Midlands Commissioning Region,RWE,University Hospitals of Leicester NHS Trust,NHS,March,2025,"8,547","2,198",163,25.7%
Y60,Midlands Commissioning Region,RJE,University Hospitals of North Midlands NHS Trust,NHS,March,2025,"3,846",386,11,10.0%
Y60,Midlands Commissioning Region,RBK,Walsall Healthcare NHS Trust,NHS,March,2025,"2,432",71,0,2.9%
Y60,Midlands Commissioning Region,NVC21,West Midlands Hospital,Private,March,2025,68,1,0,1.5%
Y60,Midlands Commissioning Region,NVC23,Woodland Hospital,Private,March,2025,170,8,6,4.7%
Y60,Midlands Commissioning Region,NVC40,Woodthorpe Hospital,Private,March,2025,42,1,0,2.4%
Y60,Midlands Commissioning Region,RWP,Worcestershire Acute Hospitals NHS Trust,NHS,March,2025,"1,291",230,114,17.8%
Y60,Midlands Commissioning Region,RLQ,Wye Valley NHS Trust,NHS,March,2025,817,50,18,6.1%
Y61,East of England Commissioning Region,NT933,Alliance Medical MRI Service - Essex,Private,March,2025,74,0,0,0.0%
Y61,East of England Commissioning Region,RC9,Bedfordshire Hospitals NHS Foundation Trust,NHS,March,2025,"2,871",365,54,12.7%
Y61,East of England Commissioning Region,NVC31,Blakelands Hospital,Private,March,2025,52,3,2,5.8%
Y61,East of England Commissioning Region,RGT,Cambridge University Hospitals NHS Foundation Trust,NHS,March,2025,"1,644",79,23,4.8%
Y61,East of England Commissioning Region,RWH,East and North Hertfordshire NHS Trust,NHS,March,2025,"2,617","1,027",290,39.2%
Y61,East of England Commissioning Region,RDE,East Suffolk and North Essex NHS Foundation Trust,NHS,March,2025,"2,310",127,16,5.5%
Y61,East of England Commissioning Region,NVC06,Fitzwilliam Hospital,Private,March,2025,317,7,5,2.2%
Y61,East of England Commissioning Region,RGP,James Paget University Hospitals NHS Foundation Trust,NHS,March,2025,"1,267",53,9,4.2%
Y61,East of England Commissioning Region,RAJ,Mid and South Essex NHS Foundation Trust,NHS,March,2025,"7,563","1,282",23,17.0%
Y61,East of England Commissioning Region,RD8,Milton Keynes University Hospital NHS Foundation Trust,NHS,March,2025,989,19,1,1.9%
Y61,East of England Commissioning Region,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,NHS,March,2025,"4,653",961,548,20.7%
Y61,East of England Commissioning Region,RGN,North West Anglia NHS Foundation Trust,NHS,March,2025,"2,433",562,81,23.1%
Y61,East of England Commissioning Region,NT204,"Nuffield Health, Brentwood Hospital",Private,March,2025,8,0,0,0.0%
Y61,East of England Commissioning Region,NT209,"Nuffield Health, Cambridge Hospital",Private,March,2025,11,0,0,0.0%
Y61,East of England Commissioning Region,NVC13,Oaks Hospital,Private,March,2025,17,0,0,0.0%
Y61,East of England Commissioning Region,NVC15,Pinehill Hospital,Private,March,2025,92,3,1,3.3%
Y61,East of England Commissioning Region,NVC19,Rivers Hospital,Private,March,2025,159,9,0,5.7%
Y61,East of England Commissioning Region,RGM,Royal Papworth Hospital NHS Foundation Trust,NHS,March,2025,253,44,37,17.4%
Y61,East of England Commissioning Region,NT434,Saxon Clinic,Private,March,2025,1,0,0,0.0%
Y61,East of England Commissioning Region,NT315,Spire Bushey Hospital,Private,March,2025,73,1,0,1.4%
Y61,East of England Commissioning Region,NT317,Spire Cambridge Lea Hospital,Private,March,2025,14,3,1,21.4%
Y61,East of England Commissioning Region,NT316,Spire Harpenden Hospital,Private,March,2025,49,2,0,4.1%
Y61,East of England Commissioning Region,NT319,Spire Hartswood Hospital,Private,March,2025,32,3,2,9.4%
Y61,East of England Commissioning Region,NT318,Spire Norwich Hospital,Private,March,2025,7,4,4,57.1%
Y61,East of England Commissioning Region,NT313,Spire Wellesley Hospital,Private,March,2025,37,7,6,18.9%
Y61,East of England Commissioning Region,NVC18,Springfield Hospital,Private,March,2025,403,54,1,13.4%
Y61,East of England Commissioning Region,S3H9L,The Hamptons Hospital Ltd,Private,March,2025,60,0,0,0.0%
Y61,East of England Commissioning Region,RQW,The Princess Alexandra Hospital NHS Trust,NHS,March,2025,"1,164",0,0,0.0%
Y61,East of England Commissioning Region,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",NHS,March,2025,"1,401",195,10,13.9%
Y61,East of England Commissioning Region,RWG,West Hertfordshire Teaching Hospitals NHS Trust,NHS,March,2025,"2,191",183,46,8.4%
Y61,East of England Commissioning Region,RGR,West Suffolk NHS Foundation Trust,NHS,March,2025,"1,120",240,3,21.4%
Y62,North West Commissioning Region,RBS,Alder Hey Children's NHS Foundation Trust,NHS,March,2025,140,0,0,0.0%
Y62,North West Commissioning Region,NT401,Alexandra Hospital,Private,March,2025,3,0,0,0.0%
Y62,North West Commissioning Region,NRP,Beacon Medical Services Group Limited,Private,March,2025,36,0,0,0.0%
Y62,North West Commissioning Region,NT403,Beardwood Hospital,Private,March,2025,56,0,0,0.0%
Y62,North West Commissioning Region,NT404,Beaumont Hospital,Private,March,2025,34,0,0,0.0%
Y62,North West Commissioning Region,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,NHS,March,2025,750,73,27,9.7%
Y62,North West Commissioning Region,RMC,Bolton NHS Foundation Trust,NHS,March,2025,524,21,11,4.0%
Y62,North West Commissioning Region,A4M8P,Buckshaw Hospital,Private,March,2025,113,3,2,2.7%
Y62,North West Commissioning Region,RJR,Countess of Chester Hospital NHS Foundation Trust,NHS,March,2025,"1,025",8,1,0.8%
Y62,North West Commissioning Region,NEM,Diagnostic Healthcare Ltd,Private,March,2025,472,338,30,71.6%
Y62,North West Commissioning Region,RJN,East Cheshire NHS Trust,NHS,March,2025,683,2,0,0.3%
Y62,North West Commissioning Region,RXR,East Lancashire Hospitals NHS Trust,NHS,March,2025,"1,623",0,0,0.0%
Y62,North West Commissioning Region,NVC05,Euxton Hall Hospital,Private,March,2025,217,9,5,4.1%
Y62,North West Commissioning Region,NVG01,Fairfield Hospital,Private,March,2025,46,0,0,0.0%
Y62,North West Commissioning Region,NVC07,Fulwood Hall Hospital,Private,March,2025,380,46,32,12.1%
Y62,North West Commissioning Region,NT420,Highfield Hospital,Private,March,2025,31,0,0,0.0%
Y62,North West Commissioning Region,RW5,Lancashire & South Cumbria NHS Foundation Trust,NHS,March,2025,204,9,3,4.4%
Y62,North West Commissioning Region,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,NHS,March,2025,"1,952",335,51,17.2%
Y62,North West Commissioning Region,NT449,Lancaster Private Hospital,Private,March,2025,0,0,0,0.0%
Y62,North West Commissioning Region,RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,NHS,March,2025,880,80,0,9.1%
Y62,North West Commissioning Region,REM,Liverpool University Hospitals NHS Foundation Trust,NHS,March,2025,"1,920",5,0,0.3%
Y62,North West Commissioning Region,NN5,Manchester Surgical Services Ltd,Private,March,2025,18,0,0,0.0%
Y62,North West Commissioning Region,R0A,Manchester University NHS Foundation Trust,NHS,March,2025,"6,795","1,364",853,20.1%
Y62,North West Commissioning Region,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,NHS,March,2025,"1,723",32,0,1.9%
Y62,North West Commissioning Region,RBT,Mid Cheshire Hospitals NHS Foundation Trust,NHS,March,2025,"2,192",48,1,2.2%
Y62,North West Commissioning Region,RM3,Northern Care Alliance NHS Foundation Trust,NHS,March,2025,"6,758",255,10,3.8%
Y62,North West Commissioning Region,NT210,"Nuffield Health, The Grosvenor Hospital, Chester",Private,March,2025,26,0,0,0.0%
Y62,North West Commissioning Region,NVC12,Oaklands Hospital,Private,March,2025,146,5,0,3.4%
Y62,North West Commissioning Region,DXV,Omnes Healthcare Ltd,Private,March,2025,702,349,111,49.7%
Y62,North West Commissioning Region,NVC16,Renacres Hospital,Private,March,2025,179,4,1,2.2%
Y62,North West Commissioning Region,NT324,Spire Cheshire Hospital,Private,March,2025,30,1,1,3.3%
Y62,North West Commissioning Region,NT347,Spire Fylde Coast Hospital,Private,March,2025,693,23,1,3.3%
Y62,North West Commissioning Region,NT337,Spire Liverpool Hospital,Private,March,2025,252,18,1,7.1%
Y62,North West Commissioning Region,NT327,Spire Manchester Hospital,Private,March,2025,5,0,0,0.0%
Y62,North West Commissioning Region,NT325,Spire Murrayfield Hospital,Private,March,2025,9,0,0,0.0%
Y62,North West Commissioning Region,NT339,Spire Regency Hospital,Private,March,2025,103,2,0,1.9%
Y62,North West Commissioning Region,RWJ,Stockport NHS Foundation Trust,NHS,March,2025,"2,082",387,0,18.6%
Y62,North West Commissioning Region,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,NHS,March,2025,600,0,0,0.0%
Y62,North West Commissioning Region,RBV,The Christie NHS Foundation Trust,NHS,March,2025,491,9,0,1.8%
Y62,North West Commissioning Region,REN,The Clatterbridge Cancer Centre NHS Foundation Trust,NHS,March,2025,6,0,0,0.0%
Y62,North West Commissioning Region,RET,The Walton Centre NHS Foundation Trust,NHS,March,2025,"1,218",5,1,0.4%
Y62,North West Commissioning Region,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,NHS,March,2025,"1,369",14,1,1.0%
Y62,North West Commissioning Region,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,NHS,March,2025,"2,162",3,0,0.1%
Y62,North West Commissioning Region,RBL,Wirral University Teaching Hospital NHS Foundation Trust,NHS,March,2025,"1,370",35,0,2.6%
Y62,North West Commissioning Region,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",NHS,March,2025,"1,942",45,0,2.3%
Y63,North East and Yorkshire Commissioning Region,RCF,Airedale NHS Foundation Trust,NHS,March,2025,652,11,0,1.7%
Y63,North East and Yorkshire Commissioning Region,RFF,Barnsley Hospital NHS Foundation Trust,NHS,March,2025,608,0,0,0.0%
